#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#group,false,false,true,true,false,false,true,true
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:31:38.258Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:31:40.258Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:31:47.058Z,14,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:31:49.058Z,14,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:32:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:32:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:33:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:33:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:34:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:34:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:35:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:35:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:36:38.258Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:36:40.258Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:36:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:36:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:37:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:37:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:38:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:38:49.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:39:47.058Z,15,value,ASA1321L
,,0,2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,2019-01-02T00:39:49.058Z,15,value,ASA1321L
